0 1931
4 1
5 1
7 1
8 2
9 2
11 1
14 1
16 1
18 3
19 1
22 2
27 1
28 2
35 1
39 2
45 1
46 3
51 1
52 2
58 1
59 1
61 1
69 1
72 1
73 1
75 1
76 1
79 1
84 2
85 1
88 1
89 1
91 1
94 1
95 1
97 1
103 1
104 1
109 1
113 1
115 1
119 1
120 1
129 1
135 1
139 2
140 1
142 1
151 1
154 1
156 1
159 1
164 2
165 1
168 1
172 1
178 1
184 1
187 1
189 1
190 1
199 1
200 1
204 1
206 1
207 1
219 1
220 1
221 1
232 1
235 1
243 1
247 1
248 1
253 1
254 1
279 1
281 1
282 1
287 2
300 2
301 1
306 1
308 1
310 1
314 1
327 1
349 1
350 1
367 1
378 1
379 1
385 1
388 1
399 1
404 1
412 1
414 1
416 1
424 1
435 1
447 1
456 1
467 1
469 1
476 2
480 1
483 1
490 1
504 1
508 1
529 1
534 1
536 1
543 1
552 1
554 1
557 1
567 1
577 1
583 1
590 1
603 1
616 1
630 1
639 1
658 1
677 1
685 1
690 1
691 1
707 1
714 1
722 1
732 1
735 1
741 1
758 1
769 1
774 1
776 1
778 1
792 1
797 1
855 1
867 1
871 1
879 1
933 1
