0 0.000877963
20 0.00351185
40 0.00438982
60 0.00570676
80 0.00614574
100 0.00746269
120 0.0127305
140 0.0140474
160 0.0149254
180 0.0184372
200 0.0219491
220 0.0219491
240 0.0307287
260 0.0386304
280 0.070237
300 0.106234
320 0.121159
340 0.152766
360 0.207638
380 0.229587
400 0.234416
420 0.237489
440 0.404741
460 0.474978
480 0.551361
500 0.587796
520 0.598332
540 0.59921
560 0.602722
580 0.625988
600 0.629939
620 0.630378
640 0.643547
660 0.653205
680 0.654522
700 0.654522
720 0.656716
740 0.657594
760 0.657594
780 0.658033
800 0.658472
820 0.658472
840 0.658472
860 0.660667
880 0.661106
900 0.661106
920 0.661106
960 0.661106
980 0.661545
